_id,guid,bookmarks,profile.preferences.prefered_content,profile.notifications.prefered_time,profile.notifications.notify_new_post,profile.notifications.notify_product_updates
6019322739366bdf91410e24,google-oauth2|104012209120947961808,"[""602452311e18eb46a4177b90"",""6033a26badcf7960b9909bce""]","[{""id"":0,""order"":0,""text"":""Article""},{""id"":1,""order"":2,""text"":""E-book""},{""id"":2,""order"":3,""text"":""Podcast""},{""id"":3,""order"":4,""text"":""Audiobook""},{""id"":4,""order"":1,""text"":""Video""}]",14:00,true,true
6019f78813999c4d31f28679,google-oauth2|105377374836353468346,"[""60217814fb655862818c3974"",""5fff8378f2aa5b7f9f5cc839"",""601930ddc15a0cd9e3be7982""]",,,,
601a6a1513999c4d3103f177,google-oauth2|104905493984786945473,"[""601a0c0952c5e6e2f2de86bf"",""601930f0c15a0c26e5be7983"",""60193100c15a0ca578be7984"",""6019802b6775af2dd56061c4"",""601b356e871a8bfd1f9e6ccb""]","[{""id"":0,""order"":1,""text"":""Article""},{""id"":1,""order"":0,""text"":""E-book""},{""id"":2,""order"":2,""text"":""Podcast""},{""id"":3,""order"":3,""text"":""Audiobook""},{""id"":4,""order"":4,""text"":""Video""}]",14:00,false,false
601d02b913999c4d316d940f,google-oauth2|110966601242437937549,"[""60193119c15a0c5124be7985"",""601c76cdf30e0d7f2b44b957"",""60215c46b08af44f231a215a"",""602414ca18ba0b129dc0c00a"",""6023d8fa45c43a932b6ae3c4"",""602c3126791fdc320ef879f1""]","[{""id"":0,""order"":0,""text"":""Article""},{""id"":1,""order"":1,""text"":""E-book""},{""id"":2,""order"":2,""text"":""Podcast""},{""id"":3,""order"":3,""text"":""Audiobook""},{""id"":4,""order"":4,""text"":""Video""}]",14:00,true,true
60215aae13999c4d314a8bb0,google-oauth2|115053983818584890033,"[""60213d7f6e2330078cfea793"",""60215c46b08af44f231a215a""]",,,,
602994f513999c4d31dbb60f,windowslive|208b71eb0933d01f,"[""60297fc97cea4f222d0c76c4""]",,,,
602b258e13999c4d311db8b2,google-oauth2|103130659647506540954,"[""6026f72f3a8526060112aca3"",""602ceb40cb176d12aac9b824""]",,,,
602bcb3c13999c4d313942c0,google-oauth2|117477946350369311413,"[""60363b4c1bcffc3d644483f0"",""6036377bccb91542286b6d20"",""603a089289ae3434715fd394"",""603cea5840c9380a3137e392"",""603cea80efd5859bb02098b7"",""603ceabaefd585814f2098b9"",""603cea99efd5851dab2098b8"",""602c3126791fdc320ef879f1""]",,,,
602f927213999c4d310543b2,auth0|601ab6e57d36cc006af5c94f,"[""602d92f21b699e1941065a11"",""5fa99b4d18c0ea7b25ee0e88""]",,,,
603921d0ac6850ac51052463,60215aae13999c4d314a8bb0,,,,,
603ada94ac6850ac515aa1e4,google-oauth2|103658749103008882237,,"[{""id"":0,""order"":1,""text"":""Article""},{""id"":1,""order"":0,""text"":""E-book""},{""id"":2,""order"":3,""text"":""Podcast""},{""id"":3,""order"":4,""text"":""Audiobook""},{""id"":4,""order"":2,""text"":""Video""}]",09:00,false,true